trabajador_id,licencia_actual_id,vuelo_id,nombre_compania,codigo_compania,rol
4,,139.0,KALITTA AIR,KAI,Tripulante de Cabina
38,31.0,64.0,UNITED,UAN,Piloto
24,35.0,21.0,KOREAN AIR,KEA,Piloto
8,45.0,41.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
2,,78.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
35,,124.0,IBERIA,IBE,Paramedico
22,,101.0,OCEANAIR,COG,Tripulante de Cabina
15,12.0,77.0,EASTERN AIRLINES,EAL,Copiloto
40,,35.0,LATAM INTER,LAT,Paramedico
59,17.0,129.0,LATAM ARGENTINA,LAM,Copiloto
22,,137.0,UNITED,UAN,Tripulante de Cabina
31,50.0,9.0,NO_COMPANY,NCY,Piloto
25,36.0,103.0,EASTERN AIRLINES,EAL,Copiloto
58,,65.0,NO_COMPANY,NCY,Tripulante de Cabina
17,28.0,36.0,MARTINAIR HOLLAND,MPH,Piloto
59,17.0,126.0,KALITTA AIR,KAI,Copiloto
59,17.0,59.0,KOREAN AIR,KEA,Copiloto
39,,15.0,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina
25,47.0,147.0,LATAM CARGO,UCA,Copiloto
25,47.0,91.0,AEROVIAS DAP (centro/norte),ADC,Piloto
18,,41.0,LATAM CARGO,UCA,Tripulante de Cabina
45,,117.0,MARTINAIR HOLLAND,MPH,Paramedico
25,47.0,139.0,LATAM CARGO,UCA,Piloto
25,47.0,29.0,EASTERN AIRLINES,EAL,Piloto
10,11.0,69.0,IBERIA,IBE,Piloto
59,17.0,17.0,NO_COMPANY,NCY,Piloto
20,,7.0,LATAM ARGENTINA,LAM,Paramedico
43,,94.0,BRITISH,BTA,Paramedico
59,17.0,57.0,QANTAS,QAF,Copiloto
8,45.0,41.0,LACSA,LRC,Copiloto
0,37.0,143.0,LATAM CARGO,UCA,Copiloto
8,45.0,109.0,LACSA,LRC,Piloto
53,,27.0,BRITISH,BTA,Paramedico
14,,117.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
8,45.0,120.0,LACSA,LRC,Piloto
40,,11.0,ETHOPIAN AIRLINES,ETA,Paramedico
51,,137.0,NO_COMPANY,NCY,Tripulante de Cabina
25,47.0,8.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
59,48.0,74.0,LAW,LAW,Piloto
8,15.0,6.0,MARTINAIR HOLLAND,MPH,Copiloto
35,,89.0,OCEANAIR,COG,Paramedico
34,41.0,89.0,LATAM DOMESTICO,LUD,Piloto
8,45.0,131.0,LACSA,LRC,Piloto
37,25.0,67.0,LAW,LAW,Copiloto
54,0.0,100.0,ALITALIA,AZI,Piloto
8,15.0,131.0,AEROVIAS DAP (centro/norte),ADC,Piloto
25,36.0,112.0,BRITISH,BTA,Copiloto
25,36.0,125.0,KALITTA AIR,KAI,Copiloto
31,50.0,105.0,AEROVIAS DAP (centro/norte),ADC,Piloto
59,48.0,13.0,OCEANAIR,COG,Piloto
8,15.0,88.0,AEROVIAS DAP (centro/norte),ADC,Copiloto
19,,85.0,LATAM DOMESTICO,LUD,Tripulante de Cabina
