trabajador_id,licencia_actual_id,vuelo_id,nombre_compania,codigo_compania,rol,numero_trabajador
4,0,139,KALITTA AIR,KAI,Tripulante de Cabina,1
38,31,64,UNITED,UAN,Piloto,2
24,35,21,KOREAN AIR,KEA,Piloto,3
8,45,41,AEROVIAS DAP (centro/norte),ADC,Copiloto,4
2,0,78,LATAM DOMESTICO,LUD,Tripulante de Cabina,5
35,0,124,IBERIA,IBE,Paramedico,6
22,0,101,OCEANAIR,COG,Tripulante de Cabina,7
15,12,77,EASTERN AIRLINES,EAL,Copiloto,8
40,0,35,LATAM INTER,LAT,Paramedico,9
59,17,129,LATAM ARGENTINA,LAM,Copiloto,10
22,0,137,UNITED,UAN,Tripulante de Cabina,11
31,50,9,NO_COMPANY,NCY,Piloto,12
25,36,103,EASTERN AIRLINES,EAL,Copiloto,13
58,0,65,NO_COMPANY,NCY,Tripulante de Cabina,14
17,28,36,MARTINAIR HOLLAND,MPH,Piloto,15
59,17,126,KALITTA AIR,KAI,Copiloto,16
59,17,59,KOREAN AIR,KEA,Copiloto,17
39,0,15,AEROVIAS DAP (centro/norte),ADC,Tripulante de Cabina,18
25,47,147,LATAM CARGO,UCA,Copiloto,19
25,47,91,AEROVIAS DAP (centro/norte),ADC,Piloto,20
18,0,41,LATAM CARGO,UCA,Tripulante de Cabina,21
45,0,117,MARTINAIR HOLLAND,MPH,Paramedico,22
25,47,139,LATAM CARGO,UCA,Piloto,23
25,47,29,EASTERN AIRLINES,EAL,Piloto,24
10,11,69,IBERIA,IBE,Piloto,25
59,17,17,NO_COMPANY,NCY,Piloto,26
20,0,7,LATAM ARGENTINA,LAM,Paramedico,27
43,0,94,BRITISH,BTA,Paramedico,28
59,17,57,QANTAS,QAF,Copiloto,29
8,45,41,LACSA,LRC,Copiloto,30
0,37,143,LATAM CARGO,UCA,Copiloto,31
8,45,109,LACSA,LRC,Piloto,32
53,0,27,BRITISH,BTA,Paramedico,33
14,0,117,LATAM DOMESTICO,LUD,Tripulante de Cabina,34
8,45,120,LACSA,LRC,Piloto,35
40,0,11,ETHOPIAN AIRLINES,ETA,Paramedico,36
51,0,137,NO_COMPANY,NCY,Tripulante de Cabina,37
25,47,8,AEROVIAS DAP (centro/norte),ADC,Copiloto,38
59,48,74,LAW,LAW,Piloto,39
8,15,6,MARTINAIR HOLLAND,MPH,Copiloto,40
35,0,89,OCEANAIR,COG,Paramedico,41
34,41,89,LATAM DOMESTICO,LUD,Piloto,42
8,45,131,LACSA,LRC,Piloto,43
37,25,67,LAW,LAW,Copiloto,44
54,0,100,ALITALIA,AZI,Piloto,45
8,15,131,AEROVIAS DAP (centro/norte),ADC,Piloto,46
25,36,112,BRITISH,BTA,Copiloto,47
25,36,125,KALITTA AIR,KAI,Copiloto,48
31,50,105,AEROVIAS DAP (centro/norte),ADC,Piloto,49
59,48,13,OCEANAIR,COG,Piloto,50
8,15,88,AEROVIAS DAP (centro/norte),ADC,Copiloto,51
19,0,85,LATAM DOMESTICO,LUD,Tripulante de Cabina,52
37,25,129,BRITISH,BTA,Piloto,53
15,12,77,LACSA,LRC,Copiloto,54
17,28,134,EASTERN AIRLINES,EAL,Copiloto,55
21,22,54,LATAM ECUADOR,XLE,Piloto,56
8,15,0,LACSA,LRC,Piloto,57
59,17,53,LATAM ARGENTINA,LAM,Piloto,58
59,17,51,OCEANAIR,COG,Piloto,59
59,17,73,LATAM ARGENTINA,LAM,Copiloto,60
23,49,48,MARTINAIR HOLLAND,MPH,Copiloto,61
17,28,134,MARTINAIR HOLLAND,MPH,Copiloto,62
17,28,134,ETHOPIAN AIRLINES,ETA,Copiloto,63
8,15,64,IBERIA,IBE,Copiloto,64
18,0,65,BRITISH,BTA,Tripulante de Cabina,65
